1554185368.2888446 ,1,1554185368.5952811

1554185368.5955527 ,2,1554185368.6275618

1554185368.6276898 ,4,1554185368.6594632

1554185368.659594 ,8,1554185368.6913538

1554185368.6914983 ,16,1554185368.7232869

1554185368.7234106 ,32,1554185368.755185

1554185368.7554064 ,64,1554185368.7871225

1554185368.78724 ,128,1554185368.8190172

1554185368.8191357 ,256,1554185368.8509977

1554185368.8512437 ,512,1554185368.9288476

1554185368.9290097 ,1024,1554185368.9606042

1554185368.9607394 ,2048,1554185368.992561

1554185368.9926894 ,4096,1554185369.0623448

1554185369.062507 ,8192,1554185369.2000308

1554185369.2002277 ,16384,1554185369.3412535

1554185369.3414888 ,32768,1554185369.5392656

1554185369.539499 ,65536,1554185369.6967492

1554185369.6970296 ,131072,1554185369.9358683

1554185369.9361055 ,262144,1554185370.402625

1554185370.4028752 ,524288,1554185371.2023325

1554185371.2026467 ,1,1554185371.3358717

1554185371.33612 ,2,1554185371.469159

1554185371.4692895 ,4,1554185371.501213

1554185371.501401 ,8,1554185371.5331683

1554185371.533284 ,16,1554185371.5651155

1554185371.56524 ,32,1554185371.5975692

1554185371.59768 ,64,1554185371.6294973

1554185371.6297364 ,128,1554185371.6813896

1554185371.681547 ,256,1554185371.7132764

1554185371.7134125 ,512,1554185371.7450647

1554185371.7452028 ,1024,1554185371.7784686

1554185371.7786067 ,2048,1554185371.8101559

1554185371.8102946 ,4096,1554185371.8425112

1554185371.8426673 ,8192,1554185371.87879

1554185371.8790255 ,16384,1554185371.9298074

1554185371.9299502 ,32768,1554185372.127538

1554185372.1277094 ,65536,1554185372.2525122

1554185372.252667 ,131072,1554185372.5111659

1554185372.5113826 ,262144,1554185372.9557564

1554185372.9559886 ,524288,1554185373.7394657

1554185373.739716 ,1,1554185373.7862093

1554185373.7863383 ,2,1554185373.82662

1554185373.8267436 ,4,1554185373.8597105

1554185373.8598535 ,8,1554185373.8942118

1554185373.8943436 ,16,1554185373.929866

1554185373.9299853 ,32,1554185373.9655948

1554185373.9658282 ,64,1554185373.9976568

1554185373.997785 ,128,1554185374.0295486

1554185374.029666 ,256,1554185374.0614755

1554185374.0616393 ,512,1554185374.0934012

1554185374.0935478 ,1024,1554185374.1254287

1554185374.1256158 ,2048,1554185374.1619484

1554185374.1621861 ,4096,1554185374.2589524

1554185374.2592018 ,8192,1554185374.3685338

1554185374.3687656 ,16384,1554185374.41996

1554185374.4201171 ,32768,1554185374.6398368

1554185374.6400986 ,65536,1554185374.7961898

1554185374.796426 ,131072,1554185375.077479

1554185375.0777261 ,262144,1554185375.5141733

1554185375.5145323 ,524288,1554185376.2604752

1554185376.260812 ,1,1554185376.3020337

1554185376.3021803 ,2,1554185376.3412657

1554185376.3413744 ,4,1554185376.385392

1554185376.3855035 ,8,1554185376.4306

1554185376.4307332 ,16,1554185376.4735262

1554185376.4736457 ,32,1554185376.5216873

1554185376.5218093 ,64,1554185376.564322

1554185376.5644417 ,128,1554185376.603511

1554185376.6036487 ,256,1554185376.6465166

1554185376.6466506 ,512,1554185376.6907692

1554185376.6910028 ,1024,1554185376.7301664

1554185376.7302842 ,2048,1554185376.7620142

1554185376.7621343 ,4096,1554185376.8811052

1554185376.881272 ,8192,1554185377.0218678

1554185377.0221179 ,16384,1554185377.0766146

1554185377.0767784 ,32768,1554185377.2906885

1554185377.2909262 ,65536,1554185377.425348

1554185377.4256136 ,131072,1554185377.7251322

1554185377.725362 ,262144,1554185378.128979

1554185378.1292365 ,524288,1554185378.8835816

1554185378.883816 ,1,1554185378.9292731

1554185378.9294543 ,2,1554185378.9720218

1554185378.9721432 ,4,1554185379.0149999

1554185379.0151145 ,8,1554185379.0583897

1554185379.0587187 ,16,1554185379.1019778

1554185379.1021104 ,32,1554185379.148456

1554185379.1485853 ,64,1554185379.193681

1554185379.1939304 ,128,1554185379.240164

1554185379.2403362 ,256,1554185379.2867217

1554185379.2868605 ,512,1554185379.3196018

1554185379.3197305 ,1024,1554185379.3513591

1554185379.351485 ,2048,1554185379.3834503

1554185379.3836007 ,4096,1554185379.4391434

1554185379.4392953 ,8192,1554185379.5756106

1554185379.5758314 ,16384,1554185379.6359677

1554185379.6361098 ,32768,1554185379.8899086

1554185379.8901744 ,65536,1554185380.0375667

1554185380.0377667 ,131072,1554185380.3122153

1554185380.3124661 ,262144,1554185380.7465992

1554185380.7468226 ,524288,1554185381.4818